word,n_morphemes,note,n_pref,n_root,n_suff,prs,zipf_freq
aaron,1,{(aaron)},0,1,0,"0,1,0",4.23
aback,1,{(aback)},0,1,0,"0,1,0",2.99
abacus,1,{(abacus)},0,1,0,"0,1,0",2.65
abandon,1,{(abandon)},0,1,0,"0,1,0",4.02
abandonment,2,{(abandon)}>ment>,0,1,1,"0,1,1",3.4
abase,2,{<a<(base)},1,1,0,"1,1,0",1.56
abased,2,{<a<(base)},1,1,0,"1,1,0",1.54
abasement,3,{<a<(base)}>ment>,1,1,1,"1,1,1",1.71
abash,1,{(abash)},0,1,0,"0,1,0",1.02
abate,1,{(abate)},0,1,0,"0,1,0",2.68
abated,1,{(abate)},0,1,0,"0,1,0",2.59
abatement,2,{(abate)}>ment>,0,1,1,"0,1,1",2.73
abattoir,1,{(abattoir)},0,1,0,"0,1,0",2.5
abbe,1,{(abbe)},0,1,0,"0,1,0",2.44
abbess,1,{(abbess)},0,1,0,"0,1,0",2.5
abbey,1,{(abbey)},0,1,0,"0,1,0",3.88
abbot,1,{(abbot)},0,1,0,"0,1,0",3.43
abbreviate,3,{<a<(brevi)>ate>},1,1,1,"1,1,1",2.23
abbreviated,3,{<a<(brevi)>ate>},1,1,1,"1,1,1",3.19
abbreviation,4,{<a<(brevi)>ate>}>ion>,1,1,2,"1,1,2",3.14
abdicate,1,{(abdicate)},0,1,0,"0,1,0",2.66
abdicated,1,{(abdicate)},0,1,0,"0,1,0",2.58
abdication,2,{(abdicate)}>ion>,0,1,1,"0,1,1",2.8
abdomen,1,{(abdomen)},0,1,0,"0,1,0",3.56
abdominal,2,{(abdomen)>al>},0,1,1,"0,1,1",3.58
abduct,2,{<ab<(duct)},1,1,0,"1,1,0",2.74
abduction,3,{<ab<(duct)}>ion>,1,1,1,"1,1,1",3.43
abeam,1,{(abeam)},0,1,0,"0,1,0",1.75
abed,1,{(abed)},0,1,0,"0,1,0",2.83
aberrant,1,{(aberrant)},0,1,0,"0,1,0",2.69
aberration,2,{(aberrate)}>ion>,0,1,1,"0,1,1",2.98
abet,1,{(abet)},0,1,0,"0,1,0",2.41
abetted,1,{(abet)},0,1,0,"0,1,0",2.56
abetting,1,{(abet)},0,1,0,"0,1,0",2.82
abettor,2,{(abet)}>or>,0,1,1,"0,1,1",1.35
abeyance,1,{(abeyance)},0,1,0,"0,1,0",2.36
abeyant,1,{(abeyant)},0,1,0,"0,1,0",1.06
abhor,1,{(abhor)},0,1,0,"0,1,0",2.64
abhorred,1,{(abhor)},0,1,0,"0,1,0",2.31
abhorrence,2,{(abhor)}>ance>,0,1,1,"0,1,1",2.19
abhorrent,2,{(abhor)}>ant>,0,1,1,"0,1,1",2.97
abhorring,1,{(abhor)},0,1,0,"0,1,0",1.36
abide,1,{(abide)},0,1,0,"0,1,0",3.59
abided,1,{(abide)},0,1,0,"0,1,0",2.16
abilities,2,{(able)}>ity>,0,1,1,"0,1,1",4.21
ability,2,{(able)}>ity>,0,1,1,"0,1,1",4.96
abject,1,{(abject)},0,1,0,"0,1,0",3.0
abjection,2,{(abject)}>ion>,0,1,1,"0,1,1",1.59
abjectly,2,{(abject)}>ly>,0,1,1,"0,1,1",1.91
abjuration,3,{<ab<(jur)}>ion>,1,1,1,"1,1,1",1.81
abjure,2,{<ab<(jur)},1,1,0,"1,1,0",1.82
abjured,2,{<ab<(jur)},1,1,0,"1,1,0",1.65
ablative,2,{(ablate)}>ive>,0,1,1,"0,1,1",2.31
ablaut,1,{(ablaut)},0,1,0,"0,1,0",1.38
ablaze,2,{<a<(blaze)},1,1,0,"1,1,0",2.93
able,1,{(able)},0,1,0,"0,1,0",5.43
abler,2,{(able)}>er>,0,1,1,"0,1,1",1.29
ablest,2,{(able)}>est>,0,1,1,"0,1,1",1.89
ablution,1,{(ablution)},0,1,0,"0,1,0",2.11
ably,2,{(able)}>y>,0,1,1,"0,1,1",2.67
abnegate,1,{(abnegate)},0,1,0,"0,1,0",0.0
abnegated,1,{(abnegate)},0,1,0,"0,1,0",0.0
abnegation,2,{(abnegate)}>ion>,0,1,1,"0,1,1",2.2
abnormal,3,<ab<{(norm)>al>},1,1,1,"1,1,1",3.71
abnormalities,4,<ab<{(norm)>al>}>ity>,1,1,2,"1,1,2",3.31
abnormality,4,<ab<{(norm)>al>}>ity>,1,1,2,"1,1,2",2.89
abnormally,4,<ab<{(norm)>al>}>ly>,1,1,2,"1,1,2",3.07
abo,1,{(abo)},0,1,0,"0,1,0",2.77
aboard,1,{(aboard)},0,1,0,"0,1,0",4.14
abode,1,{(abode)},0,1,0,"0,1,0",3.13
abolish,1,{(abolish)},0,1,0,"0,1,0",3.48
abolition,2,{(abolish)}>ion>,0,1,1,"0,1,1",3.51
abolitionist,3,{(abolish)}>ion>>ist>,0,1,2,"0,1,2",2.74
abominable,2,{(abomin)>able>},0,1,1,"0,1,1",2.85
abominably,3,{(abomin)>able>}>y>,0,1,2,"0,1,2",1.89
abominate,2,{(abomin)>ate>},0,1,1,"0,1,1",1.18
abominated,2,{(abomin)>ate>},0,1,1,"0,1,1",1.09
abomination,3,{(abomin)>ate>}>ion>,0,1,2,"0,1,2",3.13
aboriginal,3,{<ab<(origin)>al>},1,1,1,"1,1,1",3.78
aborigine,3,{<ab<(origin)>e>},1,1,1,"1,1,1",2.11
abort,1,{(abort)},0,1,0,"0,1,0",3.27
abortion,2,{(abort)}>ion>,0,1,1,"0,1,1",4.24
abortionist,3,{(abort)}>ion>>ist>,0,1,2,"0,1,2",1.94
abortive,2,{(abort)}>ive>,0,1,1,"0,1,1",2.67
abortively,3,{(abort)}>ive>>ly>,0,1,2,"0,1,2",0.0
abound,1,{(abound)},0,1,0,"0,1,0",3.27
about,1,{(about)},0,1,0,"0,1,0",6.4
above,1,{(above)},0,1,0,"0,1,0",5.2
aboveboard,2,{(above)}{(board)},0,2,0,"0,2,0",1.66
aboveground,2,{(above)}{(ground)},0,2,0,"0,2,0",2.3
abracadabra,1,{(abracadabra)},0,1,0,"0,1,0",2.19
abrade,1,{(abrade)},0,1,0,"0,1,0",1.69
abraded,1,{(abrade)},0,1,0,"0,1,0",1.78
abrasion,2,{(abrade)}>ion>,0,1,1,"0,1,1",2.91
abrasive,2,{(abrade)}>ive>,0,1,1,"0,1,1",3.22
abrasively,3,{(abrade)}>ive>>ly>,0,1,2,"0,1,2",1.25
abreast,1,{(abreast)},0,1,0,"0,1,0",2.95
abridge,1,{(abridge)},0,1,0,"0,1,0",1.95
abridged,1,{(abridge)},0,1,0,"0,1,0",3.01
abridgment,2,{(abridge)}>ment>,0,1,1,"0,1,1",1.92
abroad,1,{(abroad)},0,1,0,"0,1,0",4.39
abrogate,3,{<ab<(rog)>ate>},1,1,1,"1,1,1",2.08
abrogated,3,{<ab<(rog)>ate>},1,1,1,"1,1,1",2.38
abrogation,4,{<ab<(rog)>ate>}>ion>,1,1,2,"1,1,2",2.27
abrupt,1,{(abrupt)},0,1,0,"0,1,0",3.38
abruptly,2,{(abrupt)}>ly>,0,1,1,"0,1,1",3.56
abruptness,2,{(abrupt)}>ness>,0,1,1,"0,1,1",1.71
abscess,1,{(abscess)},0,1,0,"0,1,0",2.81
abscissa,1,{(abscissa)},0,1,0,"0,1,0",1.54
abscond,1,{(abscond)},0,1,0,"0,1,0",2.07
absence,1,{(absence)},0,1,0,"0,1,0",4.34
absent,1,{(absent)},0,1,0,"0,1,0",3.98
absentee,2,{(absent)}>ee>,0,1,1,"0,1,1",3.17
absenteeism,3,{(absent)}>ee>>ism>,0,1,2,"0,1,2",2.57
absently,2,{(absent)}>ly>,0,1,1,"0,1,1",1.92
absentmindedly,3,{(absent)}{(mind)}>ly>,0,2,1,"0,2,1",2.05
absinth,1,{(absinth)},0,1,0,"0,1,0",1.26
absolute,1,{(absolute)},0,1,0,"0,1,0",4.54
absolutely,2,{(absolute)}>ly>,0,1,1,"0,1,1",4.98
absoluteness,2,{(absolute)}>ness>,0,1,1,"0,1,1",1.5
absolution,2,{(absolute)}>ion>,0,1,1,"0,1,1",2.85
absolutism,2,{(absolute)}>ism>,0,1,1,"0,1,1",2.45
absolve,2,{<ab<(solve)},1,1,0,"1,1,0",2.83
absolved,2,{<ab<(solve)},1,1,0,"1,1,0",2.69
absorb,2,{<ab<(sorb)},1,1,0,"1,1,0",3.81
absorbency,3,{<ab<(sorb)}>ancy>,1,1,1,"1,1,1",1.88
absorbent,3,{<ab<(sorb)}>ant>,1,1,1,"1,1,1",2.81
absorber,3,{<ab<(sorb)}>er>,1,1,1,"1,1,1",2.71
absorption,3,{<ab<(sorb)}>ion>,1,1,1,"1,1,1",3.66
absorptive,3,{<ab<(sorb)}>ive>,1,1,1,"1,1,1",1.97
abstain,1,{(abstain)},0,1,0,"0,1,0",3.07
abstainer,2,{(abstain)}>er>,0,1,1,"0,1,1",1.19
abstemious,1,{(abstemious)},0,1,0,"0,1,0",1.74
abstemiously,2,{(abstemious)}>ly>,0,1,1,"0,1,1",0.0
abstemiousness,2,{(abstemious)}>ness>,0,1,1,"0,1,1",1.04
abstention,2,{(abstin)>ion>},0,1,1,"0,1,1",2.51
abstinence,2,{(abstin)>ance>},0,1,1,"0,1,1",3.18
abstinent,2,{(abstin)>ant>},0,1,1,"0,1,1",2.09
abstract,2,{<ab<(tract)},1,1,0,"1,1,0",4.14
abstractedly,3,{<ab<(tract)}>ly>,1,1,1,"1,1,1",0.0
abstractedness,3,{<ab<(tract)}>ness>,1,1,1,"1,1,1",0.0
abstraction,3,{<ab<(tract)}>ion>,1,1,1,"1,1,1",3.3
abstractionists,4,{<ab<(tract)}>ion>>ist>,1,1,2,"1,1,2",0.0
abstractly,3,{<ab<(tract)}>ly>,1,1,1,"1,1,1",2.27
abstractors,3,{<ab<(tract)}>or>,1,1,1,"1,1,1",0.0
abstruse,1,{(abstruse)},0,1,0,"0,1,0",2.13
abstrusely,2,{(abstruse)}>ly>,0,1,1,"0,1,1",0.0
abstruseness,2,{(abstruse)}>ness>,0,1,1,"0,1,1",0.0
absurd,1,{(absurd)},0,1,0,"0,1,0",3.95
absurdities,2,{(absurd)}>ity>,0,1,1,"0,1,1",2.44
absurdity,2,{(absurd)}>ity>,0,1,1,"0,1,1",3.21
absurdly,2,{(absurd)}>ly>,0,1,1,"0,1,1",2.95
abundance,2,{(abound)>ance>},0,1,1,"0,1,1",3.86
abundant,2,{(abound)>ant>},0,1,1,"0,1,1",3.77
abundantly,3,{(abound)>ant>}>ly>,0,1,2,"0,1,2",3.11
abuse,1,{(abuse)},0,1,0,"0,1,0",4.66
abused,1,{(abuse)},0,1,0,"0,1,0",4.0
abusive,2,{(abuse)}>ive>,0,1,1,"0,1,1",3.87
abusively,3,{(abuse)}>ive>>ly>,0,1,2,"0,1,2",1.77
abut,1,{(abut)},0,1,0,"0,1,0",2.54
abutment,2,{(abut)}>ment>,0,1,1,"0,1,1",2.35
abysmal,2,{(abysm)}>al>,0,1,1,"0,1,1",2.92
abysmally,3,{(abysm)}>al>>ly>,0,1,2,"0,1,2",2.09
abyss,1,{(abyss)},0,1,0,"0,1,0",3.4
acacia,1,{(acacia)},0,1,0,"0,1,0",3.01
academic,2,{(academ)>ic>},0,1,1,"0,1,1",4.57
academically,3,{(academ)>ic>}>ly>,0,1,2,"0,1,2",3.18
academician,3,{(academ)>ic>}>ian>,0,1,2,"0,1,2",2.44
academicianship,4,{(academ)>ic>}>ian>>ship>,0,1,3,"0,1,3",0.0
academies,2,{(academ)>y>},0,1,1,"0,1,1",3.34
academy,2,{(academ)>y>},0,1,1,"0,1,1",4.57
accede,2,{<a<(cede)},1,1,0,"1,1,0",2.5
acceded,2,{<a<(cede)},1,1,0,"1,1,0",2.58
accelerando,3,{<a<(celer)>ando>},1,1,1,"1,1,1",1.42
accelerate,3,{<a<(celer)>ate>},1,1,1,"1,1,1",3.66
accelerated,3,{<a<(celer)>ate>},1,1,1,"1,1,1",3.75
acceleration,4,{<a<(celer)>ate>}>ion>,1,1,2,"1,1,2",3.73
accelerator,4,{<a<(celer)>ate>}>or>,1,1,2,"1,1,2",3.42
accelerometer,3,{<a<(celer)(meter)},1,2,0,"1,2,0",2.55
accent,1,{(accent)},0,1,0,"0,1,0",4.14
accentual,2,{(accent)}>al>,0,1,1,"0,1,1",1.55
accentuate,2,{(accent)}>ate>,0,1,1,"0,1,1",2.76
accentuated,2,{(accent)}>ate>,0,1,1,"0,1,1",2.73
accentuation,3,{(accent)}>ate>>ion>,0,1,2,"0,1,2",1.89
accept,1,{(accept)},0,1,0,"0,1,0",4.85
acceptability,3,{(accept)}>able>>ity>,0,1,2,"0,1,2",2.62
acceptable,2,{(accept)}>able>,0,1,1,"0,1,1",4.27
acceptably,3,{(accept)}>able>>y>,0,1,2,"0,1,2",2.21
acceptance,2,{(accept)}>ance>,0,1,1,"0,1,1",4.16
acceptation,2,{(accept)}>ion>,0,1,1,"0,1,1",1.6
access,1,{(access)},0,1,0,"0,1,0",5.05
accessibility,3,{(access)}>able>>ity>,0,1,2,"0,1,2",3.51
accessible,2,{(access)}>able>,0,1,1,"0,1,1",4.18
accession,2,{(access)}>ion>,0,1,1,"0,1,1",3.4
accessories,1,{(accessory)},0,1,0,"0,1,0",3.95
accessors,2,{(access)}>or>,0,1,1,"0,1,1",1.23
accessory,1,{(accessory)},0,1,0,"0,1,0",3.63
accidence,1,{(accidence)},0,1,0,"0,1,0",0.0
accident,1,{(accident)},0,1,0,"0,1,0",4.71
accidental,2,{(accident)}>al>,0,1,1,"0,1,1",3.82
accidentally,3,{(accident)}>al>>ly>,0,1,2,"0,1,2",4.22
acclaim,1,{(acclaim)},0,1,0,"0,1,0",3.29
acclamation,2,{(acclaim)}>ion>,0,1,1,"0,1,1",2.4
acclimate,2,{<a<(climate)},1,1,0,"1,1,0",2.33
acclimated,2,{<a<(climate)},1,1,0,"1,1,0",2.47
acclimation,3,{<a<(climate)}>ion>,1,1,1,"1,1,1",2.09
acclimatization,4,<a<{(climate)}>ize>>ion>,1,1,2,"1,1,2",2.01
acclimatize,3,<a<{(climate)}>ize>,1,1,1,"1,1,1",1.79
acclimatized,3,<a<{(climate)}>ize>,1,1,1,"1,1,1",1.88
acclivities,1,{(acclivity)},0,1,0,"0,1,0",0.0
acclivity,1,{(acclivity)},0,1,0,"0,1,0",0.0
accolade,1,{(accolade)},0,1,0,"0,1,0",2.82
accommodate,1,{(accommodate)},0,1,0,"0,1,0",4.02
accommodated,1,{(accommodate)},0,1,0,"0,1,0",3.16
accommodation,2,{(accommodate)}>ion>,0,1,1,"0,1,1",4.06
accompanied,3,{<a<(compan)>y>},1,1,1,"1,1,1",4.25
accompanies,3,{<a<(compan)>y>},1,1,1,"1,1,1",3.2
accompaniment,4,{<a<(compan)>y>}>ment>,1,1,2,"1,1,2",3.22
accompanist,3,{<a<(compan)>ist>},1,1,1,"1,1,1",2.3
accompany,3,{<a<(compan)>y>},1,1,1,"1,1,1",3.81
accomplice,1,{(accomplice)},0,1,0,"0,1,0",3.22
accomplish,1,{(accomplish)},0,1,0,"0,1,0",4.05
accomplishment,2,{(accomplish)}>ment>,0,1,1,"0,1,1",3.69
accord,1,{(accord)},0,1,0,"0,1,0",3.81
accordance,2,{(accord)}>ance>,0,1,1,"0,1,1",4.13
accordingly,2,{(accord)}>ly>,0,1,1,"0,1,1",4.02
accordion,1,{(accordion)},0,1,0,"0,1,0",3.09
accost,1,{(accost)},0,1,0,"0,1,0",1.96
account,1,{(account)},0,1,0,"0,1,0",5.21
accountability,3,{(account)}>able>>ity>,0,1,2,"0,1,2",3.91
accountable,2,{(account)}>able>,0,1,1,"0,1,1",3.9
accountably,3,{(account)}>able>>y>,0,1,2,"0,1,2",0.0
accountancy,3,{(account)}>ance>>y>,0,1,2,"0,1,2",3.1
accountant,2,{(account)}>ant>,0,1,1,"0,1,1",3.76
accoutrements,1,{(accoutrement)},0,1,0,"0,1,0",2.34
accredit,2,<a<{(credit)},1,1,0,"1,1,0",2.12
accreditation,3,<a<{(credit)}>ion>,1,1,1,"1,1,1",3.54
accrete,1,{(accrete)},0,1,0,"0,1,0",1.54
accreted,1,{(accrete)},0,1,0,"0,1,0",1.9
accretion,2,{(accrete)}>ion>,0,1,1,"0,1,1",2.78
accrue,1,{(accrue)},0,1,0,"0,1,0",2.91
accrued,1,{(accrue)},0,1,0,"0,1,0",3.14
acculturated,3,{<a<(culture)>ate>},1,1,1,"1,1,1",1.78
acculturation,4,{<a<(culture)>ate>}>ion>,1,1,2,"1,1,2",2.37
accumulate,3,{<a<(cumul)>ate>},1,1,1,"1,1,1",3.48
accumulated,3,{<a<(cumul)>ate>},1,1,1,"1,1,1",3.7
accumulation,4,{<a<(cumul)>ate>}>ion>,1,1,2,"1,1,2",3.59
accumulative,4,{<a<(cumul)>ate>}>ive>,1,1,2,"1,1,2",1.98
accumulator,4,{<a<(cumul)>ate>}>or>,1,1,2,"1,1,2",2.7
accuracies,2,{(accur)>acy>},0,1,1,"0,1,1",1.92
accuracy,2,{(accur)>acy>},0,1,1,"0,1,1",4.24
accurate,2,{(accur)>ate>},0,1,1,"0,1,1",4.57
accurately,3,{(accur)>ate>}>ly>,0,1,2,"0,1,2",3.99
accursed,2,{<a<(curse)},1,1,0,"1,1,0",2.64
accurst,3,{<a<(curse)>t>},1,1,1,"1,1,1",0.0
accusation,2,{(accuse)}>ion>,0,1,1,"0,1,1",3.6
accusative,2,{(accuse)}>ive>,0,1,1,"0,1,1",2.51
accuse,1,{(accuse)},0,1,0,"0,1,0",3.71
accused,1,{(accuse)},0,1,0,"0,1,0",4.46
accuser,2,{(accuse)}>er>,0,1,1,"0,1,1",2.99
accusingly,2,{(accuse)}>ly>,0,1,1,"0,1,1",1.75
accustom,2,{<a<(custom)},1,1,0,"1,1,0",2.06
ace,1,{(ace)},0,1,0,"0,1,0",4.11
acerbic,2,{(acerb)>ic>},0,1,1,"0,1,1",2.31
acerbities,2,{(acerb)>ity>},0,1,1,"0,1,1",0.0
acerbity,2,{(acerb)>ity>},0,1,1,"0,1,1",1.1
acetate,1,{(acetate)},0,1,0,"0,1,0",3.15
acetic,1,{(acetic)},0,1,0,"0,1,0",2.65
acetone,1,{(acetone)},0,1,0,"0,1,0",2.79
acetylene,1,{(acetylene)},0,1,0,"0,1,0",2.44
ache,1,{(ache)},0,1,0,"0,1,0",3.43
ached,1,{(ache)},0,1,0,"0,1,0",2.41
achievable,2,{(achieve)}>able>,0,1,1,"0,1,1",3.21
achieve,1,{(achieve)},0,1,0,"0,1,0",4.57
achieved,1,{(achieve)},0,1,0,"0,1,0",4.49
achievement,2,{(achieve)}>ment>,0,1,1,"0,1,1",4.36
acid,1,{(acid)},0,1,0,"0,1,0",4.45
acidic,2,{(acid)}>ic>,0,1,1,"0,1,1",3.34
acidified,2,{(acid)}>ify>,0,1,1,"0,1,1",1.85
acidifies,2,{(acid)}>ify>,0,1,1,"0,1,1",0.0
acidify,2,{(acid)}>ify>,0,1,1,"0,1,1",1.64
acidity,2,{(acid)}>ity>,0,1,1,"0,1,1",3.2
acidulous,1,{(acidulous)},0,1,0,"0,1,0",1.07
acknowledge,3,{<a<(know)(ledge)},1,2,0,"1,2,0",4.18
acknowledged,3,{<a<(know)(ledge)},1,2,0,"1,2,0",4.08
acknowledgement,4,{<a<(know)(ledge)}>ment>,1,2,1,"1,2,1",3.32
acknowledgment,4,{<a<(know)(ledge)}>ment>,1,2,1,"1,2,1",3.11
acme,1,{(acme)},0,1,0,"0,1,0",2.89
acne,1,{(acne)},0,1,0,"0,1,0",3.66
acolyte,1,{(acolyte)},0,1,0,"0,1,0",2.41
aconite,1,{(aconite)},0,1,0,"0,1,0",1.79
acorn,1,{(acorn)},0,1,0,"0,1,0",3.08
acoustic,2,{(acoust)>ic>},0,1,1,"0,1,1",3.98
acoustical,3,{(acoust)>ic>}>al>,0,1,2,"0,1,2",2.59
acoustically,4,{(acoust)>ic>}>al>>ly>,0,1,3,"0,1,3",2.43
acquaint,1,{(acquaint)},0,1,0,"0,1,0",2.51
acquaintance,2,{(acquaint)}>ance>,0,1,1,"0,1,1",3.55
acquaintanceship,3,{(acquaint)}>ance>>ship>,0,1,2,"0,1,2",1.57
acquiesce,1,{(acquiesce)},0,1,0,"0,1,0",2.48
acquiesced,1,{(acquiesce)},0,1,0,"0,1,0",2.42
acquiescence,2,{(acquiesce)}>ance>,0,1,1,"0,1,1",2.47
acquiescent,2,{(acquiesce)}>ant>,0,1,1,"0,1,1",1.65
acquiescently,3,{(acquiesce)}>ant>>ly>,0,1,2,"0,1,2",0.0
acquire,2,{<a<(quire)},1,1,0,"1,1,0",4.13
acquired,2,{<a<(quire)},1,1,0,"1,1,0",4.4
acquirement,3,{<a<(quire)}>ment>,1,1,1,"1,1,1",1.7
acquisition,3,{<a<(quire)>ion>},1,1,1,"1,1,1",4.26
acquisitive,3,{<a<(quire)>ive>},1,1,1,"1,1,1",2.17
acquisitiveness,4,{<a<(quire)>ive>}>ness>,1,1,2,"1,1,2",1.32
acquit,2,{<a<(quit)},1,1,0,"1,1,0",2.58
acquittal,3,{<a<(quit)}>al>,1,1,1,"1,1,1",3.04
acquitted,2,{<a<(quit)},1,1,0,"1,1,0",3.44
acquitting,2,{<a<(quit)},1,1,0,"1,1,0",1.83
acre,1,{(acre)},0,1,0,"0,1,0",3.93
acreage,2,{(acre)}>age>,0,1,1,"0,1,1",3.05
acrid,1,{(acrid)},0,1,0,"0,1,0",2.37
acrimonious,2,{(acrimony)}>ious>,0,1,1,"0,1,1",2.55
acrimoniously,3,{(acrimony)}>ious>>ly>,0,1,2,"0,1,2",1.62
acrimony,1,{(acrimony)},0,1,0,"0,1,0",2.34
acrobat,1,{(acrobat)},0,1,0,"0,1,0",2.72
acrobatic,2,{(acrobat)}>ic>,0,1,1,"0,1,1",2.81
acrobatically,3,{(acrobat)}>ic>>ly>,0,1,2,"0,1,2",1.41
acronym,2,{(acr)(nym)},0,2,0,"0,2,0",3.38
acropolises,1,{(acropolis)},0,1,0,"0,1,0",0.0
across,1,{(across)},0,1,0,"0,1,0",5.25
acrostic,1,{(acrostic)},0,1,0,"0,1,0",2.1
acrylic,1,{(acrylic)},0,1,0,"0,1,0",3.42
act,1,{(act)},0,1,0,"0,1,0",5.3
actinic,2,{(actin)>ic>},0,1,1,"0,1,1",1.88
actinism,2,{(actin)>ism>},0,1,1,"0,1,1",0.0
action,2,{(act)}>ion>,0,1,1,"0,1,1",5.25
actionable,3,{(act)}>ion>>able>,0,1,2,"0,1,2",3.0
activate,3,{(act)}>ive>>ate>,0,1,2,"0,1,2",3.76
activated,3,{(act)}>ive>>ate>,0,1,2,"0,1,2",4.01
activation,4,{(act)}>ive>>ate>>ion>,0,1,3,"0,1,3",3.83
active,2,{(act)}>ive>,0,1,1,"0,1,1",4.93
actively,3,{(act)}>ive>>ly>,0,1,2,"0,1,2",4.23
activism,3,{(act)}>ive>>ism>,0,1,2,"0,1,2",3.67
activist,3,{(act)}>ive>>ist>,0,1,2,"0,1,2",4.13
activities,3,{(act)}>ive>>ity>,0,1,2,"0,1,2",4.91
activity,3,{(act)}>ive>>ity>,0,1,2,"0,1,2",4.86
actor,2,{(act)}>or>,0,1,1,"0,1,1",4.65
actress,2,{(act)}>ess>,0,1,1,"0,1,1",4.45
actual,2,{(act)>al>},0,1,1,"0,1,1",4.85
actualities,3,{(act)>al>}>ity>,0,1,2,"0,1,2",1.51
actuality,3,{(act)>al>}>ity>,0,1,2,"0,1,2",3.1
actually,3,{(act)>al>}>y>,0,1,2,"0,1,2",5.49
actuarial,3,{(act)>ory>}>al>,0,1,2,"0,1,2",2.79
actuaries,2,{(act)>ory>},0,1,1,"0,1,1",2.52
actuary,2,{(act)>ory>},0,1,1,"0,1,1",2.5
actuate,2,{(act)>ate>},0,1,1,"0,1,1",2.1
actuated,2,{(act)>ate>},0,1,1,"0,1,1",2.56
acuity,1,{(acuity)},0,1,0,"0,1,0",2.81
acumen,1,{(acumen)},0,1,0,"0,1,0",2.91
acupuncture,2,{(acu)(puncture)},0,2,0,"0,2,0",3.04
acute,1,{(acute)},0,1,0,"0,1,0",4.0
acutely,2,{(acute)}>ly>,0,1,1,"0,1,1",3.13
acuteness,2,{(acute)}>ness>,0,1,1,"0,1,1",1.89
adage,1,{(adage)},0,1,0,"0,1,0",2.95
adagio,1,{(adagio)},0,1,0,"0,1,0",2.5
adam,1,{(adam)},0,1,0,"0,1,0",4.57
adamant,1,{(adamant)},0,1,0,"0,1,0",3.28
adamantine,2,{(adamant)>ine>},0,1,1,"0,1,1",2.0
adamantly,2,{(adamant)}>ly>,0,1,1,"0,1,1",2.69
adapt,1,{(adapt)},0,1,0,"0,1,0",3.98
adaptability,3,{(adapt)}>able>>ity>,0,1,2,"0,1,2",2.86
adaptable,2,{(adapt)}>able>,0,1,1,"0,1,1",3.12
adaptation,2,{(adapt)}>ion>,0,1,1,"0,1,1",4.01
adapter,2,{(adapt)}>er>,0,1,1,"0,1,1",3.6
add,1,{(add)},0,1,0,"0,1,0",5.09
addenda,1,{(addenda)},0,1,0,"0,1,0",2.02
addendum,1,{(addendum)},0,1,0,"0,1,0",2.89
adder,1,{(adder)},0,1,0,"0,1,0",2.69
addict,1,{(addict)},0,1,0,"0,1,0",3.68
addiction,2,{(addict)}>ion>,0,1,1,"0,1,1",4.14
addictive,2,{(addict)}>ive>,0,1,1,"0,1,1",3.61
addition,2,{(add)}>ion>,0,1,1,"0,1,1",5.01
additional,3,{(add)}>ion>>al>,0,1,2,"0,1,2",4.98
additionally,4,{(add)}>ion>>al>>ly>,0,1,3,"0,1,3",4.2
additive,2,{(add)}>ive>,0,1,1,"0,1,1",3.33
addle,1,{(addle)},0,1,0,"0,1,0",1.69
addled,1,{(addle)},0,1,0,"0,1,0",2.56
address,1,{(address)},0,1,0,"0,1,0",4.91
addressee,2,{(address)}>ee>,0,1,1,"0,1,1",2.34
adduce,1,{(adduce)},0,1,0,"0,1,0",1.68
adduced,1,{(adduce)},0,1,0,"0,1,0",2.05
adenoidally,2,{(adenoid)}>ly>,0,1,1,"0,1,1",0.0
adenoids,1,{(adenoid)},0,1,0,"0,1,0",1.9
adept,1,{(adept)},0,1,0,"0,1,0",3.33
adeptly,2,{(adept)}>ly>,0,1,1,"0,1,1",1.76
adequacy,2,{(adequ)>acy>},0,1,1,"0,1,1",2.85
adequate,2,{(adequ)>ate>},0,1,1,"0,1,1",4.05
adequately,3,{(adequ)>ate>}>ly>,0,1,2,"0,1,2",3.64
adhere,2,{<ad<(_here)},1,1,0,"1,1,0",3.57
adhered,2,{<ad<(_here)},1,1,0,"1,1,0",3.12
adherence,3,{<ad<(_here)}>ance>,1,1,1,"1,1,1",3.34
adherent,3,{<ad<(_here)}>ant>,1,1,1,"1,1,1",2.6
adhesion,3,{<ad<(_here)>ion>},1,1,1,"1,1,1",3.14
adhesive,1,{(adhesive)},0,1,0,"0,1,0",3.37
adieu,1,{(adieu)},0,1,0,"0,1,0",2.83
adios,1,{(adios)},0,1,0,"0,1,0",2.68
adipose,1,{(adipose)},0,1,0,"0,1,0",2.76
adirondack,1,{(adirondack)},0,1,0,"0,1,0",2.8
adjacent,1,{(adjacent)},0,1,0,"0,1,0",4.12
adjectival,2,{(adjective)}>al>,0,1,1,"0,1,1",2.14
adjectivally,3,{(adjective)}>al>>ly>,0,1,2,"0,1,2",1.05
adjective,1,{(adjective)},0,1,0,"0,1,0",3.34
adjoin,2,{<a<(join)},1,1,0,"1,1,0",1.97
adjourn,2,{<a<(journ)},1,1,0,"1,1,0",2.71
adjournment,3,{<a<(journ)}>ment>,1,1,1,"1,1,1",2.66
adjudge,2,{<a<(judge)},1,1,0,"1,1,0",1.54
adjudged,2,{<a<(judge)},1,1,0,"1,1,0",2.62
